Ticker: SYNC  Created on: 2/13/2017 1:33:29 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 3.05, 3.05, 3, 3.05, 71200, 3.05, 0, 1, 3.05, -999
20170209, 3.05, 3.05, 2.9, 3.05, 152800, 3.05, 0, 1, 3.05, -999
20170208, 3.05, 3.1, 2.95, 3.05, 146600, 3.05, 0, 1, 3.05, -999
20170207, 3.05, 3.15, 3.05, 3.1, 48800, 3.1, 0, 1, 3.075, -999
20170206, 3.1, 3.1, 3.05, 3.1, 62500, 3.1, 0, 1, 3.1, -999
20170203, 3.1, 3.15, 3.1, 3.15, 27100, 3.15, 0, 1, 3.125, -999
20170202, 3.15, 3.2, 3.1, 3.15, 68000, 3.15, 0, 1, 3.15, -999
20170201, 3.15, 3.15, 3.05, 3.15, 80500, 3.15, 0, 1, 3.15, -999
20170131, 3.1, 3.15, 3.05, 3.15, 51300, 3.15, 0, 1, 3.125, -999
20170130, 3.15, 3.2, 3.1, 3.15, 35300, 3.15, 0, 1, 3.15, -999
20170127, 3.1, 3.15, 3.08, 3.15, 99000, 3.15, 0, 1, 3.125, -999
20170126, 3, 3.1, 3, 3.1, 43700, 3.1, 0, 1, 3.05, -999
20170125, 3.05, 3.1, 3, 3.05, 70600, 3.05, 0, 1, 3.05, -999
20170124, 3.15, 3.15, 2.95, 3.05, 144800, 3.05, 0, 1, 3.1, -999
20170123, 3.05, 3.15, 3.05, 3.1, 58000, 3.1, 0, 1, 3.075, -999
20170120, 3.1, 3.1, 3.05, 3.1, 58600, 3.1, 0, 1, 3.1, -999
20170119, 3.15, 3.18, 3.05, 3.1, 177800, 3.1, 0, 1, 3.125, -999
20170118, 3.2, 3.2, 3.15, 3.2, 49100, 3.2, 0, 1, 3.2, -999
20170117, 3.25, 3.3, 3.15, 3.2, 127100, 3.2, 0, 1, 3.225, -999
20170113, 3.3, 3.3, 3.25, 3.3, 50700, 3.3, 0, 1, 3.3, -999
20170112, 3.2, 3.35, 3.2, 3.3, 130400, 3.3, 0, 1, 3.25, -999
20170111, 3.05, 3.25, 3.05, 3.25, 120100, 3.25, 0, 1, 3.15, -999
20170110, 3.15, 3.15, 3.05, 3.05, 103900, 3.05, 0, 1, 3.1, -999
20170109, 3.15, 3.15, 3.1, 3.15, 46800, 3.15, 0, 1, 3.15, -999
20170106, 3.15, 3.15, 3.1, 3.15, 19600, 3.15, 0, 1, 3.15, -999
20170105, 3.1, 3.15, 3.1, 3.15, 32600, 3.15, 0, 1, 3.125, -999
20170104, 3.15, 3.15, 3.1, 3.1, 63700, 3.1, 0, 1, 3.125, -999
20170103, 3.15, 3.15, 3.1, 3.15, 57600, 3.15, 0, 1, 3.15, -999
20161230, 3.15, 3.2, 3.1, 3.1, 134500, 3.1, 0, 1, 3.125, -999
20161229, 3.15, 3.16, 3.1, 3.15, 72500, 3.15, 0, 1, 3.15, -999
20161228, 3.4, 3.4, 3.1, 3.15, 200900, 3.15, 0, 1, 3.275, -999
20161227, 3.2, 3.35, 3.2, 3.35, 390200, 3.35, 0, 1, 3.275, -999
20161223, 3.1, 3.2, 3.1, 3.2, 118600, 3.2, 0, 1, 3.15, -999
20161222, 3.15, 3.15, 3.1, 3.15, 63100, 3.15, 0, 1, 3.15, -999
20161221, 3.05, 3.15, 3.05, 3.15, 52600, 3.15, 0, 1, 3.1, -999
20161220, 3.15, 3.2, 3.05, 3.1, 85200, 3.1, 0, 1, 3.125, -999
20161219, 3.3, 3.3, 3.1, 3.15, 253700, 3.15, 0, 1, 3.225, -999
20161216, 3.05, 3.3, 2.9, 3.25, 1192500, 3.25, 0, 1, 3.15, -999
20161215, 3, 3.05, 3, 3.05, 26400, 3.05, 0, 1, 3.025, -999
20161214, 3.05, 3.1, 3, 3, 55100, 3, 0, 1, 3.025, -999
20161213, 3.1, 3.15, 3.05, 3.1, 87500, 3.1, 0, 1, 3.1, -999
20161212, 3.1, 3.15, 2.9, 3.15, 127600, 3.15, 0, 1, 3.125, -999
20161209, 3.1, 3.2, 3.05, 3.1, 131800, 3.1, 0, 1, 3.1, -999
20161208, 3.15, 3.2, 3.1, 3.15, 74300, 3.15, 0, 1, 3.15, -999
20161207, 3.15, 3.25, 3.05, 3.15, 198900, 3.15, 0, 1, 3.15, -999
20161206, 3.1, 3.15, 3.1, 3.1, 57800, 3.1, 0, 1, 3.1, -999
