Ticker: TNGO  Created on: 2/13/2017 1:33:19 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 6.64, 6.77, 6.55, 6.69, 91200, 6.69, 0, 1, 6.665, -999
20170209, 6.67, 6.83, 6.56, 6.63, 120000, 6.63, 0, 1, 6.65, -999
20170208, 6.74, 6.84, 6.54, 6.63, 167600, 6.63, 0, 1, 6.685, -999
20170207, 6.7, 6.8, 6.6, 6.74, 124900, 6.74, 0, 1, 6.72, -999
20170206, 6.78, 6.85, 6.68, 6.69, 101200, 6.69, 0, 1, 6.735, -999
20170203, 7, 7, 6.82, 6.82, 164800, 6.82, 0, 1, 6.91, -999
20170202, 7.06, 7.32, 6.92, 6.95, 432900, 6.95, 0, 1, 7.005, -999
20170201, 7.33, 7.34, 7.06, 7.09, 329800, 7.09, 0, 1, 7.21, -999
20170131, 7.25, 7.37, 7.14, 7.28, 110200, 7.28, 0, 1, 7.265, -999
20170130, 7.33, 7.39, 7.15, 7.28, 64000, 7.28, 0, 1, 7.305, -999
20170127, 7.31, 7.43, 7.24, 7.39, 52300, 7.39, 0, 1, 7.35, -999
20170126, 7.47, 7.48, 7.27, 7.32, 100900, 7.32, 0, 1, 7.395, -999
20170125, 7.46, 7.53, 7.38, 7.49, 54200, 7.49, 0, 1, 7.475, -999
20170124, 7.29, 7.5, 7.2, 7.4, 119500, 7.4, 0, 1, 7.345, -999
20170123, 7.23, 7.37, 7.16, 7.28, 165700, 7.28, 0, 1, 7.255, -999
20170120, 7.34, 7.42, 7.25, 7.27, 97400, 7.27, 0, 1, 7.305, -999
20170119, 7.51, 7.65, 7.16, 7.34, 261700, 7.34, 0, 1, 7.425, -999
20170118, 7.81, 8, 7.39, 7.42, 994200, 7.42, 0, 1, 7.615, -999
20170117, 7.91, 8.1, 7.72, 7.76, 1011100, 7.76, 0, 1, 7.835, -999
20170113, 7.88, 8.05, 7.79, 8.01, 335700, 8.01, 0, 1, 7.945, -999
20170112, 8.03, 8.03, 7.75, 7.79, 937400, 7.79, 0, 1, 7.91, -999
20170111, 8.13, 8.3, 7.98, 8.02, 124700, 8.02, 0, 1, 8.075, -999
20170110, 8.14, 8.4, 8.1, 8.19, 85800, 8.19, 0, 1, 8.165, -999
20170109, 8.1, 8.3, 8.03, 8.15, 106900, 8.15, 0, 1, 8.125, -999
20170106, 8.2, 8.25, 7.98, 8.13, 138000, 8.13, 0, 1, 8.165, -999
20170105, 8.26, 8.35, 8, 8.28, 166300, 8.28, 0, 1, 8.27, -999
20170104, 7.9, 8.29, 7.9, 8.26, 255600, 8.26, 0, 1, 8.08, -999
20170103, 8.32, 8.32, 7.65, 7.98, 774900, 7.98, 0, 1, 8.15, -999
20161230, 8.25, 8.28, 7.63, 7.88, 137300, 7.88, 0, 1, 8.065, -999
20161229, 8.26, 8.41, 8.14, 8.24, 58800, 8.24, 0, 1, 8.25, -999
20161228, 8.28, 8.35, 8.12, 8.23, 66200, 8.23, 0, 1, 8.255, -999
20161227, 8.2, 8.37, 8.2, 8.26, 80500, 8.26, 0, 1, 8.23, -999
20161223, 7.99, 8.21, 7.93, 8.2, 109800, 8.2, 0, 1, 8.095, -999
20161222, 8.15, 8.17, 7.97, 7.98, 108800, 7.98, 0, 1, 8.065, -999
20161221, 8.43, 8.44, 8.09, 8.17, 143000, 8.17, 0, 1, 8.3, -999
20161220, 8.37, 8.5, 8.29, 8.45, 92200, 8.45, 0, 1, 8.41, -999
20161219, 8.1, 8.48, 8.09, 8.36, 139600, 8.36, 0, 1, 8.23, -999
20161216, 8.13, 8.32, 8.01, 8.12, 322400, 8.12, 0, 1, 8.125, -999
20161215, 8.14, 8.35, 7.99, 8.09, 184000, 8.09, 0, 1, 8.115, -999
20161214, 8.13, 8.28, 8.03, 8.11, 153800, 8.11, 0, 1, 8.12, -999
20161213, 8.03, 8.38, 7.99, 8.13, 292600, 8.13, 0, 1, 8.08, -999
20161212, 8.1, 8.17, 7.95, 7.99, 52600, 7.99, 0, 1, 8.045, -999
20161209, 8.14, 8.31, 8, 8.13, 297800, 8.13, 0, 1, 8.135, -999
20161208, 8, 8.1, 7.95, 8.1, 425200, 8.1, 0, 1, 8.05, -999
20161207, 8.11, 8.11, 7.93, 7.99, 143000, 7.99, 0, 1, 8.05, -999
20161206, 8, 8.12, 7.92, 8, 186900, 8, 0, 1, 8, -999
20161205, 7.9, 8.21, 7.83, 8.01, 335200, 8.01, 0, 1, 7.955, -999
20161202, 7.79, 7.94, 7.64, 7.76, 161100, 7.76, 0, 1, 7.775, -999
20161201, 7.95, 8.05, 7.5, 7.79, 129700, 7.79, 0, 1, 7.87, -999
20161130, 8, 8.12, 7.81, 7.92, 196800, 7.92, 0, 1, 7.96, -999
20161129, 8.02, 8.13, 7.89, 7.9, 86900, 7.9, 0, 1, 7.96, -999
20161128, 8.04, 8.17, 7.84, 7.98, 132200, 7.98, 0, 1, 8.01, -999
20161125, 8, 8.11, 7.88, 8.04, 45700, 8.04, 0, 1, 8.02, -999
20161123, 8.07, 8.11, 7.81, 8.03, 165300, 8.03, 0, 1, 8.05, -999
20161122, 8.25, 8.3, 7.99, 8.07, 267200, 8.07, 0, 1, 8.16, -999
20161121, 8.19, 8.72, 8.09, 8.24, 194700, 8.24, 0, 1, 8.215, -999
20161118, 8.19, 8.39, 7.92, 8.16, 448300, 8.16, 0, 1, 8.175, -999
20161117, 8.26, 8.34, 8.02, 8.15, 213000, 8.15, 0, 1, 8.205, -999
20161116, 8.69, 8.69, 7.95, 8.16, 176000, 8.16, 0, 1, 8.425, -999
20161115, 9.24, 9.4, 8.51, 8.55, 172800, 8.55, 0, 1, 8.895, -999
20161114, 9.61, 10.39, 8.86, 9.22, 87900, 9.22, 0, 1, 9.415, -999
20161111, 8.63, 9.45, 8.43, 9.42, 148400, 9.42, 0, 1, 9.025, -999
20161110, 8.75, 8.89, 8.5, 8.63, 90400, 8.63, 0, 1, 8.69, -999
20161109, 8.2, 8.67, 8.14, 8.61, 96100, 8.61, 0, 1, 8.405, -999
20161108, 8.3, 8.5, 8.2, 8.32, 60500, 8.32, 0, 1, 8.31, -999
20161107, 8.41, 8.41, 8.2, 8.28, 74500, 8.28, 0, 1, 8.345, -999
20161104, 8.03, 8.31, 8.02, 8.17, 86300, 8.17, 0, 1, 8.1, -999
20161103, 8.16, 8.17, 7.74, 8.08, 51200, 8.08, 0, 1, 8.12, -999
20161102, 8.46, 8.46, 7.97, 8.13, 43700, 8.13, 0, 1, 8.295, -999
20161101, 8.64, 8.64, 8.39, 8.41, 76900, 8.41, 0, 1, 8.525, -999
20161031, 8.48, 8.84, 8.35, 8.58, 188900, 8.58, 0, 1, 8.53, -999
20161028, 8.54, 8.66, 8.5, 8.54, 86100, 8.54, 0, 1, 8.54, -999
20161027, 8.47, 8.65, 8.44, 8.62, 51100, 8.62, 0, 1, 8.545, -999
20161026, 8.43, 8.59, 8.37, 8.39, 43400, 8.39, 0, 1, 8.41, -999
20161025, 8.51, 8.55, 8.46, 8.5, 36000, 8.5, 0, 1, 8.505, -999
20161024, 8.3, 8.56, 8.3, 8.52, 38200, 8.52, 0, 1, 8.41, -999
20161021, 8, 8.3, 7.56, 8.29, 61500, 8.29, 0, 1, 8.145, -999
20161020, 8.26, 8.27, 8.1, 8.13, 51700, 8.13, 0, 1, 8.195, -999
20161019, 8.18, 8.39, 8.18, 8.29, 48600, 8.29, 0, 1, 8.235, -999
20161018, 8.22, 8.4, 8.18, 8.19, 52900, 8.19, 0, 1, 8.205, -999
20161017, 8.05, 8.19, 7.96, 8.12, 48500, 8.12, 0, 1, 8.085, -999
20161014, 8.01, 8.13, 7.88, 8.07, 78800, 8.07, 0, 1, 8.04, -999
20161013, 7.98, 8.08, 7.81, 8, 86500, 8, 0, 1, 7.99, -999
20161012, 8.05, 8.26, 7.99, 8.07, 77400, 8.07, 0, 1, 8.06, -999
20161011, 8.21, 8.21, 7.94, 8.05, 98800, 8.05, 0, 1, 8.13, -999
20161010, 8.28, 8.3, 8.2, 8.21, 41900, 8.21, 0, 1, 8.245, -999
20161007, 8.43, 8.43, 8.11, 8.22, 76900, 8.22, 0, 1, 8.325, -999
20161006, 8.52, 8.67, 8.34, 8.4, 71700, 8.4, 0, 1, 8.46, -999
20161005, 8.47, 8.56, 8.45, 8.52, 90800, 8.52, 0, 1, 8.495, -999
20161004, 8.39, 8.49, 8.37, 8.45, 62200, 8.45, 0, 1, 8.42, -999
20161003, 8.25, 8.4, 8.25, 8.32, 57900, 8.32, 0, 1, 8.285, -999
20160930, 8.34, 8.41, 8.22, 8.25, 124300, 8.25, 0, 1, 8.295, -999
20160929, 8.34, 8.38, 8.19, 8.29, 98700, 8.29, 0, 1, 8.315, -999
20160928, 8.34, 8.47, 8.27, 8.38, 91200, 8.38, 0, 1, 8.36, -999
20160927, 8.29, 8.4, 7.81, 8.35, 79900, 8.35, 0, 1, 8.32, -999
20160926, 8.34, 8.49, 8.3, 8.34, 85100, 8.34, 0, 1, 8.34, -999
20160923, 8.55, 8.74, 8.36, 8.36, 107500, 8.36, 0, 1, 8.455, -999
20160922, 8.61, 8.65, 8.44, 8.62, 103300, 8.62, 0, 1, 8.615, -999
20160921, 8.26, 8.67, 8.25, 8.59, 80900, 8.59, 0, 1, 8.425, -999
20160920, 8.38, 8.66, 8.24, 8.26, 93400, 8.26, 0, 1, 8.32, -999
20160919, 8.43, 8.81, 8.23, 8.29, 133200, 8.29, 0, 1, 8.36, -999
20160916, 8.32, 8.51, 8.16, 8.3, 2150800, 8.3, 0, 1, 8.31, -999
20160915, 8.29, 8.96, 8.22, 8.32, 235800, 8.32, 0, 1, 8.305, -999
20160914, 8.35, 8.4, 8.17, 8.26, 242300, 8.26, 0, 1, 8.305, -999
20160913, 8.43, 8.52, 8.28, 8.31, 179200, 8.31, 0, 1, 8.37, -999
20160912, 8.5, 8.78, 8.46, 8.68, 243300, 8.68, 0, 1, 8.59, -999
20160909, 8.38, 8.38, 7.98, 8.04, 216700, 8.04, 0, 1, 8.21, -999
20160908, 8.59, 8.8, 8.43, 8.47, 186200, 8.47, 0, 1, 8.53, -999
20160907, 8.68, 9.35, 8.5, 8.66, 229800, 8.66, 0, 1, 8.67, -999
20160906, 9.74, 9.74, 8.28, 8.67, 471300, 8.67, 0, 1, 9.205, -999
20160902, 9.55, 9.83, 9.42, 9.82, 81500, 9.82, 0, 1, 9.685, -999
20160901, 9.33, 9.73, 9.14, 9.52, 72400, 9.52, 0, 1, 9.425, -999
20160831, 9.53, 9.53, 8.97, 9.29, 116000, 9.29, 0, 1, 9.41, -999
20160830, 9.69, 9.85, 9.46, 9.52, 67400, 9.52, 0, 1, 9.605, -999
