Ticker: TRIP  Created on: 2/13/2017 1:33:29 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 52.700001, 52.900002, 51.82, 52, 2486300, 52, 0, 1, 52.3500005, -999
20170209, 52.119999, 52.900002, 52.040001, 52.509998, 2391500, 52.509998, 0, 1, 52.3149985, -999
20170208, 51.959999, 52.32, 51.450001, 51.889999, 1777700, 51.889999, 0, 1, 51.924999, -999
20170207, 52.029999, 52.400002, 51.5, 51.959999, 1305000, 51.959999, 0, 1, 51.994999, -999
20170206, 52.5, 52.869999, 51.630001, 51.959999, 1640900, 51.959999, 0, 1, 52.2299995, -999
20170203, 52.400002, 52.959999, 52.060001, 52.610001, 961000, 52.610001, 0, 1, 52.5050015, -999
20170202, 51.810001, 52.73, 51.299999, 52.060001, 1045000, 52.060001, 0, 1, 51.935001, -999
20170201, 52.990002, 53.470001, 51.57, 51.869999, 1800900, 51.869999, 0, 1, 52.4300005, -999
20170131, 51.98, 53.18, 51.799999, 52.900002, 1403300, 52.900002, 0, 1, 52.440001, -999
20170130, 51.970001, 52.330002, 51.23, 52.25, 1144800, 52.25, 0, 1, 52.1100005, -999
20170127, 52.459999, 52.459999, 51.669998, 52, 812500, 52, 0, 1, 52.2299995, -999
20170126, 52.73, 52.84, 52.099998, 52.18, 772700, 52.18, 0, 1, 52.455, -999
20170125, 52.75, 52.860001, 52.060001, 52.650002, 1893000, 52.650002, 0, 1, 52.700001, -999
20170124, 51.66, 52.380001, 50.759998, 52.130001, 1412600, 52.130001, 0, 1, 51.8950005, -999
20170123, 51.790001, 51.849998, 50.91, 51.389999, 1549700, 51.389999, 0, 1, 51.59, -999
20170120, 52.23, 52.919998, 51.259998, 51.849998, 2129500, 51.849998, 0, 1, 52.039999, -999
20170119, 52.900002, 53.110001, 51.580002, 52.16, 2097800, 52.16, 0, 1, 52.530001, -999
20170118, 52.66, 53.389999, 52.459999, 52.880001, 1288600, 52.880001, 0, 1, 52.7700005, -999
20170117, 52.560001, 53.580002, 52.380001, 52.599998, 1924200, 52.599998, 0, 1, 52.5799995, -999
20170113, 52.029999, 53.299999, 52.029999, 52.919998, 2254400, 52.919998, 0, 1, 52.4749985, -999
20170112, 51.720001, 52.349998, 50.810001, 51.880001, 2499700, 51.880001, 0, 1, 51.800001, -999
20170111, 51.009998, 51.919998, 50.830002, 51.66, 1558800, 51.66, 0, 1, 51.334999, -999
20170110, 51.07, 51.880001, 50.240002, 51.310001, 2572200, 51.310001, 0, 1, 51.1900005, -999
20170109, 50.919998, 51.43, 50.400002, 50.919998, 2646800, 50.919998, 0, 1, 50.919998, -999
20170106, 49.009998, 51.060001, 48.560001, 50.77, 2939600, 50.77, 0, 1, 49.889999, -999
20170105, 48.889999, 49.75, 48.830002, 49.200001, 1734700, 49.200001, 0, 1, 49.045, -999
20170104, 47.740002, 49, 47.630001, 48.860001, 2009200, 48.860001, 0, 1, 48.3000015, -999
20170103, 46.75, 47.630001, 46.209999, 47.509998, 1912700, 47.509998, 0, 1, 47.129999, -999
20161230, 47, 47.27, 46.16, 46.369999, 1518900, 46.369999, 0, 1, 46.6849995, -999
20161229, 46.75, 47.119999, 46.529999, 46.950001, 1622600, 46.950001, 0, 1, 46.8500005, -999
20161228, 47.23, 47.650002, 46.639999, 46.849998, 1363400, 46.849998, 0, 1, 47.039999, -999
20161227, 46.580002, 47.48, 46.490002, 47.290001, 1416000, 47.290001, 0, 1, 46.9350015, -999
20161223, 46.470001, 46.689999, 46.169998, 46.540001, 1222300, 46.540001, 0, 1, 46.505001, -999
20161222, 46.43, 46.450001, 45.630001, 46.389999, 2677500, 46.389999, 0, 1, 46.4099995, -999
20161221, 49.490002, 49.490002, 46.209999, 46.279999, 2702200, 46.279999, 0, 1, 47.8850005, -999
20161220, 47.09, 49.75, 47.02, 48.790001, 5586200, 48.790001, 0, 1, 47.9400005, -999
20161219, 47.529999, 47.599998, 46.389999, 46.450001, 1918500, 46.450001, 0, 1, 46.99, -999
20161216, 47.57, 48.09, 47.18, 47.369999, 4008500, 47.369999, 0, 1, 47.4699995, -999
20161215, 47.689999, 47.98, 47.139999, 47.380001, 1880600, 47.380001, 0, 1, 47.535, -999
20161214, 49.02, 49.189999, 47.380001, 47.619999, 3836300, 47.619999, 0, 1, 48.3199995, -999
20161213, 48.830002, 49.549999, 48.66, 49.029999, 1404000, 49.029999, 0, 1, 48.9300005, -999
20161212, 49, 49.349998, 48.25, 48.709999, 784600, 48.709999, 0, 1, 48.8549995, -999
20161209, 48.169998, 49.400002, 48.009998, 49.23, 1811100, 49.23, 0, 1, 48.699999, -999
20161208, 47.389999, 48.310001, 47.25, 48.060001, 1664300, 48.060001, 0, 1, 47.725, -999
20161207, 48.189999, 48.41, 47.540001, 47.599998, 2720500, 47.599998, 0, 1, 47.8949985, -999
20161206, 48.130001, 48.5, 47.77, 48.169998, 1378200, 48.169998, 0, 1, 48.1499995, -999
20161205, 47.130001, 48.509998, 46.689999, 47.98, 2759800, 47.98, 0, 1, 47.5550005, -999
20161202, 47.200001, 47.349998, 45.950001, 46.459999, 2587000, 46.459999, 0, 1, 46.83, -999
20161201, 48.34, 48.389999, 46.880001, 47.16, 2263700, 47.16, 0, 1, 47.75, -999
20161130, 49.240002, 49.720001, 48.25, 48.279999, 2691300, 48.279999, 0, 1, 48.7600005, -999
20161129, 50.43, 50.82, 49.16, 49.299999, 2336200, 49.299999, 0, 1, 49.8649995, -999
20161128, 51.060001, 51.189999, 50.07, 50.18, 1925200, 50.18, 0, 1, 50.6200005, -999
20161125, 50.919998, 51.400002, 50.66, 51.169998, 500800, 51.169998, 0, 1, 51.044998, -999
20161123, 51, 51.009998, 50.389999, 50.790001, 1059900, 50.790001, 0, 1, 50.8950005, -999
20161122, 51.689999, 52.080002, 51.23, 51.34, 1305100, 51.34, 0, 1, 51.5149995, -999
20161121, 51.299999, 52.049999, 50.93, 51.68, 1431000, 51.68, 0, 1, 51.4899995, -999
20161118, 50.77, 51.509998, 50.290001, 50.790001, 1338100, 50.790001, 0, 1, 50.7800005, -999
20161117, 50.18, 51.689999, 50.099998, 50.970001, 2253300, 50.970001, 0, 1, 50.5750005, -999
20161116, 49.84, 51.200001, 49.740002, 50.400002, 3270900, 50.400002, 0, 1, 50.120001, -999
20161115, 49.57, 50.52, 49.330002, 50.02, 4645300, 50.02, 0, 1, 49.795, -999
20161114, 51.029999, 51.279999, 48.52, 48.799999, 5538700, 48.799999, 0, 1, 49.914999, -999
20161111, 51.939999, 51.939999, 50.59, 51.009998, 3324700, 51.009998, 0, 1, 51.4749985, -999
20161110, 52.700001, 53.73, 51.009998, 51.830002, 6271600, 51.830002, 0, 1, 52.2650015, -999
20161109, 53, 56.02, 51, 52.630001, 18901600, 52.630001, 0, 1, 52.8150005, -999
20161108, 63.560001, 65.559998, 62.82, 63.099998, 6483900, 63.099998, 0, 1, 63.3299995, -999
20161107, 64.599998, 64.849998, 63.360001, 63.43, 2589400, 63.43, 0, 1, 64.014999, -999
20161104, 62.310001, 64.050003, 62.310001, 63.639999, 1351000, 63.639999, 0, 1, 62.975, -999
20161103, 61.66, 63.25, 61.389999, 62.740002, 1092400, 62.740002, 0, 1, 62.200001, -999
20161102, 63.380001, 63.650002, 61.5, 61.630001, 1253300, 61.630001, 0, 1, 62.505001, -999
20161101, 64.410004, 64.580002, 62.93, 63.470001, 1256000, 63.470001, 0, 1, 63.9400025, -999
20161031, 64.629997, 64.739998, 64, 64.480003, 1155500, 64.480003, 0, 1, 64.555, -999
20161028, 62.48, 64.860001, 61.84, 64.339996, 2344100, 64.339996, 0, 1, 63.409998, -999
20161027, 62.389999, 62.529999, 61.240002, 61.849998, 1378800, 61.849998, 0, 1, 62.1199985, -999
20161026, 62.540001, 63.52, 61.509998, 61.75, 1501400, 61.75, 0, 1, 62.1450005, -999
20161025, 63.720001, 64.269997, 63.110001, 63.529999, 812400, 63.529999, 0, 1, 63.625, -999
20161024, 63.57, 63.939999, 63.169998, 63.830002, 1172000, 63.830002, 0, 1, 63.700001, -999
20161021, 61.869999, 63.669998, 61.740002, 62.959999, 2069400, 62.959999, 0, 1, 62.414999, -999
20161020, 63.689999, 63.709999, 61.91, 62.029999, 1529000, 62.029999, 0, 1, 62.859999, -999
20161019, 63.16, 64.239998, 63.16, 63.869999, 2028500, 63.869999, 0, 1, 63.5149995, -999
20161018, 62.66, 63.490002, 62.07, 63.189999, 1655600, 63.189999, 0, 1, 62.9249995, -999
20161017, 61.43, 61.849998, 60.689999, 61.459999, 1471100, 61.459999, 0, 1, 61.4449995, -999
20161014, 62.400002, 62.650002, 61.110001, 61.310001, 1978900, 61.310001, 0, 1, 61.8550015, -999
20161013, 62.66, 62.66, 61.75, 62.240002, 1737500, 62.240002, 0, 1, 62.450001, -999
20161012, 63.389999, 63.450001, 62.5, 62.990002, 1558400, 62.990002, 0, 1, 63.1900005, -999
20161011, 64.5, 64.599998, 63.099998, 63.43, 2071800, 63.43, 0, 1, 63.965, -999
20161010, 64.239998, 64.800003, 64.010002, 64.599998, 1198400, 64.599998, 0, 1, 64.419998, -999
20161007, 65.089996, 65.089996, 63.599998, 64, 1185100, 64, 0, 1, 64.544998, -999
20161006, 65.889999, 65.889999, 64.360001, 64.839996, 1675300, 64.839996, 0, 1, 65.3649975, -999
20161005, 64.75, 66.129997, 64.540001, 65.870003, 2138400, 65.870003, 0, 1, 65.3100015, -999
20161004, 63.740002, 64.730003, 63.41, 64.419998, 1019100, 64.419998, 0, 1, 64.08, -999
20161003, 62.900002, 63.450001, 62.209999, 63.349998, 841900, 63.349998, 0, 1, 63.125, -999
20160930, 62.98, 63.48, 62.959999, 63.18, 1682300, 63.18, 0, 1, 63.08, -999
20160929, 63.790001, 64.419998, 62.82, 63, 2561200, 63, 0, 1, 63.3950005, -999
20160928, 64.370003, 65.029999, 63.720001, 64.080002, 1525900, 64.080002, 0, 1, 64.2250025, -999
20160927, 62.009998, 64.68, 61.919998, 64.260002, 2384500, 64.260002, 0, 1, 63.135, -999
20160926, 61.650002, 61.970001, 61.330002, 61.889999, 996000, 61.889999, 0, 1, 61.7700005, -999
20160923, 61.439999, 62.169998, 61.209999, 61.869999, 1321100, 61.869999, 0, 1, 61.654999, -999
20160922, 60.740002, 61.43, 60.389999, 61.360001, 1174400, 61.360001, 0, 1, 61.0500015, -999
20160921, 60.5, 60.779999, 59.869999, 60.540001, 1345100, 60.540001, 0, 1, 60.5200005, -999
20160920, 60.16, 60.459999, 59.720001, 60.25, 1188300, 60.25, 0, 1, 60.205, -999
20160919, 61.560001, 61.639999, 59.810001, 60, 1910400, 60, 0, 1, 60.7800005, -999
20160916, 61.689999, 61.73, 60.490002, 61.290001, 2772100, 61.290001, 0, 1, 61.49, -999
20160915, 61.650002, 62.040001, 60.950001, 61.82, 1433300, 61.82, 0, 1, 61.735001, -999
