Ticker: TRUE  Created on: 2/13/2017 1:33:30 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 13.06, 13.36, 13, 13.27, 477700, 13.27, 0, 1, 13.165, -999
20170209, 13.19, 13.25, 12.92, 13.01, 520600, 13.01, 0, 1, 13.1, -999
20170208, 13.25, 13.289, 12.99, 13.13, 418000, 13.13, 0, 1, 13.19, -999
20170207, 13.44, 13.48, 13.24, 13.3, 541600, 13.3, 0, 1, 13.37, -999
20170206, 13.65, 13.85, 13.31, 13.47, 1825900, 13.47, 0, 1, 13.56, -999
20170203, 13.25, 13.33, 13.1, 13.23, 551300, 13.23, 0, 1, 13.24, -999
20170202, 13.13, 13.25, 12.96, 13.15, 580700, 13.15, 0, 1, 13.14, -999
20170201, 13.26, 13.44, 13.08, 13.21, 624100, 13.21, 0, 1, 13.235, -999
20170131, 13.02, 13.34, 12.91, 13.15, 986500, 13.15, 0, 1, 13.085, -999
20170130, 12.82, 13.13, 12.58, 13.07, 719400, 13.07, 0, 1, 12.945, -999
20170127, 12.92, 13.005, 12.84, 12.89, 326700, 12.89, 0, 1, 12.905, -999
20170126, 12.79, 12.98, 12.7, 12.93, 280200, 12.93, 0, 1, 12.86, -999
20170125, 13, 13.12, 12.78, 12.82, 345600, 12.82, 0, 1, 12.91, -999
20170124, 12.6, 13, 12.6, 12.95, 404600, 12.95, 0, 1, 12.775, -999
20170123, 12.74, 12.88, 12.4, 12.6, 401300, 12.6, 0, 1, 12.67, -999
20170120, 13.07, 13.07, 12.72, 12.74, 434100, 12.74, 0, 1, 12.905, -999
20170119, 12.88, 13.21, 12.85, 13.12, 641200, 13.12, 0, 1, 13, -999
20170118, 12.87, 12.96, 12.75, 12.87, 211400, 12.87, 0, 1, 12.87, -999
20170117, 12.84, 12.93, 12.71, 12.79, 683000, 12.79, 0, 1, 12.815, -999
20170113, 13, 13.29, 12.903, 12.99, 628100, 12.99, 0, 1, 12.995, -999
20170112, 12.94, 13, 12.76, 12.96, 299000, 12.96, 0, 1, 12.95, -999
20170111, 13.02, 13.02, 12.78, 12.99, 271700, 12.99, 0, 1, 13.005, -999
20170110, 12.98, 13.079, 12.58, 13.03, 547600, 13.03, 0, 1, 13.005, -999
20170109, 13.59, 13.91, 12.82, 12.94, 1360500, 12.94, 0, 1, 13.265, -999
20170106, 13.05, 13.05, 12.72, 12.91, 797100, 12.91, 0, 1, 12.98, -999
20170105, 12.78, 13.09, 12.78, 12.99, 927400, 12.99, 0, 1, 12.885, -999
20170104, 12.58, 12.92, 12.55, 12.86, 1034500, 12.86, 0, 1, 12.72, -999
20170103, 12.42, 12.92, 12.42, 12.51, 446200, 12.51, 0, 1, 12.465, -999
20161230, 12.48, 12.56, 12.29, 12.5, 551500, 12.5, 0, 1, 12.49, -999
20161229, 12.6, 12.7, 12.37, 12.47, 337000, 12.47, 0, 1, 12.535, -999
20161228, 12.78, 12.86, 12.495, 12.54, 259400, 12.54, 0, 1, 12.66, -999
20161227, 12.68, 12.89, 12.54, 12.81, 230300, 12.81, 0, 1, 12.745, -999
20161223, 12.48, 12.68, 12.44, 12.62, 345600, 12.62, 0, 1, 12.55, -999
20161222, 12.77, 12.82, 12.45, 12.49, 524400, 12.49, 0, 1, 12.63, -999
20161221, 13.02, 13.06, 12.69, 12.73, 404700, 12.73, 0, 1, 12.875, -999
20161220, 12.96, 13.12, 12.741, 13.06, 376800, 13.06, 0, 1, 13.01, -999
20161219, 12.68, 13.1, 12.62, 12.94, 553400, 12.94, 0, 1, 12.81, -999
20161216, 12.59, 13.14, 12.45, 12.57, 1402300, 12.57, 0, 1, 12.58, -999
20161215, 12.31, 12.76, 12.235, 12.54, 870100, 12.54, 0, 1, 12.425, -999
20161214, 12.48, 12.66, 12.22, 12.29, 441400, 12.29, 0, 1, 12.385, -999
20161213, 12.36, 12.73, 12.29, 12.5, 497300, 12.5, 0, 1, 12.43, -999
20161212, 12.92, 12.92, 12.25, 12.33, 686800, 12.33, 0, 1, 12.625, -999
20161209, 13.15, 13.29, 12.85, 12.95, 461400, 12.95, 0, 1, 13.05, -999
20161208, 12.56, 13.11, 12.51, 13.11, 1214700, 13.11, 0, 1, 12.835, -999
20161207, 12.75, 12.81, 12.44, 12.55, 577800, 12.55, 0, 1, 12.65, -999
20161206, 12.44, 12.53, 12.23, 12.44, 509800, 12.44, 0, 1, 12.44, -999
20161205, 12.26, 12.62, 12.26, 12.42, 609800, 12.42, 0, 1, 12.34, -999
20161202, 12, 12.34, 11.85, 12.26, 470200, 12.26, 0, 1, 12.13, -999
20161201, 12.44, 12.57, 11.835, 12.04, 806100, 12.04, 0, 1, 12.24, -999
20161130, 12.17, 12.51, 12.02, 12.38, 589400, 12.38, 0, 1, 12.275, -999
20161129, 12.36, 12.37, 12.06, 12.11, 550100, 12.11, 0, 1, 12.235, -999
20161128, 12.48, 12.57, 12.34, 12.36, 368600, 12.36, 0, 1, 12.42, -999
20161125, 12.68, 12.76, 12.45, 12.57, 199800, 12.57, 0, 1, 12.625, -999
20161123, 12.63, 12.73, 12.33, 12.62, 353300, 12.62, 0, 1, 12.625, -999
20161122, 12.77, 12.85, 12.56, 12.65, 926000, 12.65, 0, 1, 12.71, -999
