Ticker: TTWO  Created on: 2/13/2017 1:33:19 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 56.450001, 58.34, 56.130001, 57.880001, 4129900, 57.880001, 0, 1, 57.165001, -999
20170209, 54.060001, 56.130001, 53.84, 56.02, 2789200, 56.02, 0, 1, 55.0400005, -999
20170208, 56.040001, 56.709999, 53.419998, 53.709999, 3095600, 53.709999, 0, 1, 54.875, -999
20170207, 54.560001, 54.66, 53.349998, 53.700001, 1834900, 53.700001, 0, 1, 54.130001, -999
20170206, 53.970001, 54.209999, 53.52, 54.200001, 1354900, 54.200001, 0, 1, 54.085001, -999
20170203, 55, 55.470001, 53.799999, 53.93, 1813700, 53.93, 0, 1, 54.465, -999
20170202, 54.18, 54.810001, 53.869999, 54.799999, 1053300, 54.799999, 0, 1, 54.4899995, -999
20170201, 53.66, 55.470001, 53.349998, 54.360001, 1754100, 54.360001, 0, 1, 54.0100005, -999
20170131, 53.599998, 53.889999, 53.189999, 53.650002, 1058000, 53.650002, 0, 1, 53.625, -999
20170130, 53.509998, 53.650002, 52.880001, 53.490002, 734800, 53.490002, 0, 1, 53.5, -999
20170127, 54.16, 54.16, 53.209999, 53.689999, 951900, 53.689999, 0, 1, 53.9249995, -999
20170126, 54.02, 54.200001, 53.650002, 53.75, 847400, 53.75, 0, 1, 53.885, -999
20170125, 53.66, 53.959999, 53.200001, 53.880001, 1089500, 53.880001, 0, 1, 53.7700005, -999
20170124, 52.25, 53.330002, 51.830002, 53.18, 892400, 53.18, 0, 1, 52.715, -999
20170123, 52.209999, 52.560001, 52.09, 52.16, 920600, 52.16, 0, 1, 52.1849995, -999
20170120, 51.82, 52.389999, 51.57, 52.349998, 1043900, 52.349998, 0, 1, 52.084999, -999
20170119, 51.889999, 52.099998, 51.599998, 51.790001, 713000, 51.790001, 0, 1, 51.84, -999
20170118, 51.599998, 51.849998, 51.349998, 51.790001, 610200, 51.790001, 0, 1, 51.6949995, -999
20170117, 51.540001, 51.700001, 51, 51.400002, 766400, 51.400002, 0, 1, 51.4700015, -999
20170113, 50.619999, 51.73, 50.509998, 51.610001, 874600, 51.610001, 0, 1, 51.115, -999
20170112, 50.939999, 51.200001, 50.310001, 50.869999, 625500, 50.869999, 0, 1, 50.904999, -999
20170111, 50.950001, 51.810001, 50.669998, 51.110001, 894000, 51.110001, 0, 1, 51.030001, -999
20170110, 50.32, 51.049999, 50.060001, 50.810001, 632100, 50.810001, 0, 1, 50.5650005, -999
20170109, 49.869999, 50.669998, 49.59, 50.459999, 1177200, 50.459999, 0, 1, 50.164999, -999
20170106, 49.400002, 50.34, 49.32, 49.950001, 1129400, 49.950001, 0, 1, 49.6750015, -999
20170105, 50.119999, 50.689999, 49.360001, 49.360001, 779300, 49.360001, 0, 1, 49.74, -999
