Ticker: TWOU  Created on: 2/13/2017 1:32:47 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 34.150002, 35.32, 34.040001, 35.299999, 224400, 35.299999, 0, 1, 34.7250005, -999
20170209, 33.43, 34.400002, 33.330002, 34.009998, 257700, 34.009998, 0, 1, 33.719999, -999
20170208, 32.990002, 33.68, 32.935001, 33.290001, 268000, 33.290001, 0, 1, 33.1400015, -999
20170207, 33.419998, 33.599998, 32.810001, 33.029999, 199400, 33.029999, 0, 1, 33.2249985, -999
20170206, 33.990002, 34.009998, 33.224998, 33.25, 208900, 33.25, 0, 1, 33.620001, -999
20170203, 33.73, 34.330002, 32.773998, 34.189999, 257800, 34.189999, 0, 1, 33.9599995, -999
20170202, 33.509998, 33.779999, 32.77, 33.43, 246000, 33.43, 0, 1, 33.469999, -999
20170201, 33.939999, 33.939999, 32.91, 33.73, 351600, 33.73, 0, 1, 33.8349995, -999
20170131, 34.209999, 34.395, 33.564999, 34.040001, 197000, 34.040001, 0, 1, 34.125, -999
20170130, 34.84, 34.939999, 34.150002, 34.240002, 217700, 34.240002, 0, 1, 34.540001, -999
20170127, 35.310001, 35.400002, 34.490002, 35.029999, 222600, 35.029999, 0, 1, 35.17, -999
20170126, 34.91, 35.400002, 34.700001, 35.07, 442300, 35.07, 0, 1, 34.99, -999
20170125, 34.689999, 35.099998, 34.380001, 35.02, 260400, 35.02, 0, 1, 34.8549995, -999
20170124, 33.68, 34.540001, 33.5, 34.400002, 305500, 34.400002, 0, 1, 34.040001, -999
20170123, 33.91, 34.344002, 33.279999, 33.639999, 255900, 33.639999, 0, 1, 33.7749995, -999
20170120, 33.610001, 33.91, 33.25, 33.889999, 287900, 33.889999, 0, 1, 33.75, -999
20170119, 33.709999, 33.860001, 33.459999, 33.639999, 296100, 33.639999, 0, 1, 33.674999, -999
20170118, 33.810001, 33.923, 33.564999, 33.77, 245300, 33.77, 0, 1, 33.7900005, -999
