Ticker: VRNS  Created on: 2/13/2017 1:33:20 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 25.200001, 29.4, 25.200001, 28.049999, 522800, 28.049999, 0, 1, 26.625, -999
20170209, 30.85, 30.85, 27.700001, 28.700001, 1016500, 28.700001, 0, 1, 29.7750005, -999
20170208, 31.200001, 31.200001, 30.075001, 30.25, 349400, 30.25, 0, 1, 30.7250005, -999
20170207, 30.549999, 31.15, 30.15, 31, 672100, 31, 0, 1, 30.7749995, -999
20170206, 29.6, 30.549999, 29.4, 30.4, 354800, 30.4, 0, 1, 30, -999
20170203, 29.549999, 29.799999, 29.25, 29.6, 178100, 29.6, 0, 1, 29.5749995, -999
20170202, 29.450001, 29.75, 29.25, 29.5, 71100, 29.5, 0, 1, 29.4750005, -999
20170201, 30.1, 30.1, 29.450001, 29.5, 117200, 29.5, 0, 1, 29.8, -999
20170131, 29.5, 29.950001, 29.200001, 29.9, 153600, 29.9, 0, 1, 29.7, -999
20170130, 29.35, 29.75, 28.85, 29.65, 155500, 29.65, 0, 1, 29.5, -999
20170127, 29.700001, 29.950001, 29.450001, 29.549999, 116700, 29.549999, 0, 1, 29.625, -999
20170126, 29.65, 29.799999, 29.25, 29.75, 205100, 29.75, 0, 1, 29.7, -999
20170125, 30.25, 30.5, 29.700001, 29.75, 725800, 29.75, 0, 1, 30, -999
20170124, 29.65, 30.15, 29.6, 30, 469000, 30, 0, 1, 29.825, -999
20170123, 29.35, 29.75, 29.200001, 29.6, 183000, 29.6, 0, 1, 29.475, -999
20170120, 29.25, 29.549999, 29.1, 29.450001, 150000, 29.450001, 0, 1, 29.3500005, -999
20170119, 29.299999, 29.450001, 29, 29.25, 164600, 29.25, 0, 1, 29.2749995, -999
20170118, 29.200001, 29.549999, 28.799999, 29.25, 401400, 29.25, 0, 1, 29.2250005, -999
20170117, 28.799999, 29.5, 28.450001, 29.200001, 408100, 29.200001, 0, 1, 29, -999
20170113, 27.950001, 29.299999, 27.950001, 29.1, 281100, 29.1, 0, 1, 28.5250005, -999
20170112, 27.700001, 28, 26.85, 27.85, 156500, 27.85, 0, 1, 27.7750005, -999
20170111, 27.549999, 28.225, 27.5, 27.799999, 181900, 27.799999, 0, 1, 27.674999, -999
20170110, 26.950001, 28.25, 26.549999, 27.549999, 468400, 27.549999, 0, 1, 27.25, -999
20170109, 26.799999, 27.299999, 26.450001, 26.85, 609300, 26.85, 0, 1, 26.8249995, -999
20170106, 27, 27.1, 26.700001, 26.75, 125200, 26.75, 0, 1, 26.875, -999
20170105, 26.950001, 27.200001, 26.6, 26.75, 94000, 26.75, 0, 1, 26.8500005, -999
20170104, 27.299999, 27.299999, 26.549999, 27.049999, 163500, 27.049999, 0, 1, 27.174999, -999
20170103, 26.950001, 27.4, 26.700001, 27.25, 369300, 27.25, 0, 1, 27.1000005, -999
20161230, 26.549999, 26.950001, 25.950001, 26.799999, 188300, 26.799999, 0, 1, 26.674999, -999
20161229, 25.799999, 26.450001, 25.799999, 26.450001, 93500, 26.450001, 0, 1, 26.125, -999
20161228, 25.950001, 26.075001, 25.35, 25.75, 75500, 25.75, 0, 1, 25.8500005, -999
20161227, 25.85, 26.35, 25.65, 26, 142900, 26, 0, 1, 25.925, -999
20161223, 25.549999, 25.950001, 25.5, 25.799999, 98200, 25.799999, 0, 1, 25.674999, -999
20161222, 26.450001, 26.799999, 25.049999, 25.549999, 269200, 25.549999, 0, 1, 26, -999
20161221, 26.700001, 27.85, 25.6, 26.549999, 427400, 26.549999, 0, 1, 26.625, -999
20161220, 26.25, 26.799999, 26.049999, 26.549999, 286900, 26.549999, 0, 1, 26.3999995, -999
20161219, 24.85, 26.4, 24.799999, 26.35, 370000, 26.35, 0, 1, 25.6, -999
20161216, 25.299999, 25.35, 24.75, 24.85, 272500, 24.85, 0, 1, 25.0749995, -999
20161215, 26.299999, 26.65, 25.1, 25.200001, 310400, 25.200001, 0, 1, 25.75, -999
20161214, 26.9, 27.155001, 26.049999, 26.15, 133900, 26.15, 0, 1, 26.525, -999
