Ticker: WEB  Created on: 2/13/2017 1:33:20 AM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20170210, 20.200001, 22.5, 19.780001, 20.950001, 1125600, 20.950001, 0, 1, 20.575001, -999
20170209, 19.25, 19.9, 19.1, 19.75, 505300, 19.75, 0, 1, 19.5, -999
20170208, 19, 19.299999, 18.950001, 19.25, 420900, 19.25, 0, 1, 19.125, -999
20170207, 19.200001, 19.35, 19, 19.049999, 153200, 19.049999, 0, 1, 19.125, -999
20170206, 19.25, 19.450001, 19.1, 19.15, 176400, 19.15, 0, 1, 19.2, -999
20170203, 19, 19.4, 18.85, 19.299999, 217500, 19.299999, 0, 1, 19.1499995, -999
20170202, 18.9, 19.1, 18.549999, 18.799999, 180900, 18.799999, 0, 1, 18.8499995, -999
20170201, 19.049999, 19.25, 18.85, 18.950001, 221300, 18.950001, 0, 1, 19, -999
20170131, 18.75, 19, 18.4, 18.950001, 227500, 18.950001, 0, 1, 18.8500005, -999
20170130, 19.35, 19.35, 18.799999, 18.799999, 231300, 18.799999, 0, 1, 19.0749995, -999
20170127, 19.85, 19.950001, 19.4, 19.450001, 251900, 19.450001, 0, 1, 19.6500005, -999
20170126, 19.85, 20.049999, 19.5, 19.75, 246600, 19.75, 0, 1, 19.8, -999
20170125, 19.75, 20.049999, 19.68, 19.9, 295100, 19.9, 0, 1, 19.825, -999
20170124, 19.35, 19.65, 19.200001, 19.65, 190300, 19.65, 0, 1, 19.5, -999
20170123, 19.299999, 19.75, 19.15, 19.25, 268800, 19.25, 0, 1, 19.2749995, -999
20170120, 19.450001, 19.6, 19.200001, 19.299999, 263000, 19.299999, 0, 1, 19.375, -999
20170119, 19.35, 19.6, 19.049999, 19.450001, 251200, 19.450001, 0, 1, 19.4000005, -999
20170118, 19.25, 19.6, 19.049999, 19.299999, 420200, 19.299999, 0, 1, 19.2749995, -999
20170117, 19.450001, 19.549999, 18.950001, 19.200001, 481400, 19.200001, 0, 1, 19.325001, -999
20170113, 19.65, 19.879999, 19.299999, 19.549999, 332900, 19.549999, 0, 1, 19.5999995, -999
20170112, 20.15, 20.15, 19.35, 19.549999, 466100, 19.549999, 0, 1, 19.8499995, -999
20170111, 20.200001, 20.299999, 19.950001, 20.200001, 269100, 20.200001, 0, 1, 20.200001, -999
20170110, 20.15, 20.4, 19.9, 20.25, 249200, 20.25, 0, 1, 20.2, -999
20170109, 20.65, 20.65, 19.950001, 20.15, 326900, 20.15, 0, 1, 20.4, -999
20170106, 20.35, 20.719999, 20.1, 20.700001, 505100, 20.700001, 0, 1, 20.5250005, -999
20170105, 20.65, 20.85, 20, 20.299999, 499800, 20.299999, 0, 1, 20.4749995, -999
20170104, 20.700001, 20.950001, 20.6, 20.700001, 328700, 20.700001, 0, 1, 20.700001, -999
20170103, 21.1, 21.200001, 20.450001, 20.700001, 442200, 20.700001, 0, 1, 20.9000005, -999
20161230, 21.049999, 21.15, 20.700001, 21.15, 313700, 21.15, 0, 1, 21.0999995, -999
20161229, 20.85, 21.049999, 20.799999, 21, 142500, 21, 0, 1, 20.925, -999
20161228, 21.15, 21.16, 20.65, 20.799999, 250700, 20.799999, 0, 1, 20.9749995, -999
20161227, 20.700001, 21.15, 20.700001, 21.1, 248700, 21.1, 0, 1, 20.9000005, -999
20161223, 20.450001, 20.85, 20.450001, 20.75, 166500, 20.75, 0, 1, 20.6000005, -999
20161222, 20.35, 20.75, 20.35, 20.5, 339400, 20.5, 0, 1, 20.425, -999
20161221, 20.5, 20.799999, 20.15, 20.35, 358300, 20.35, 0, 1, 20.425, -999
20161220, 20, 20.700001, 19.75, 20.5, 655400, 20.5, 0, 1, 20.25, -999
20161219, 20.049999, 20.5, 19.110001, 20.049999, 555700, 20.049999, 0, 1, 20.049999, -999
20161216, 18.85, 20.049999, 18.65, 19.9, 1139400, 19.9, 0, 1, 19.375, -999
20161215, 18.15, 18.9, 18, 18.75, 462200, 18.75, 0, 1, 18.45, -999
20161214, 18.200001, 18.4, 17.85, 18.049999, 484300, 18.049999, 0, 1, 18.125, -999
20161213, 17.35, 18.4, 17.35, 18.200001, 796400, 18.200001, 0, 1, 17.7750005, -999
20161212, 18.15, 18.200001, 17.200001, 17.200001, 576400, 17.200001, 0, 1, 17.6750005, -999
20161209, 17.75, 17.950001, 17.4, 17.4, 305800, 17.4, 0, 1, 17.575, -999
20161208, 17, 17.799999, 16.9, 17.65, 606900, 17.65, 0, 1, 17.325, -999
20161207, 16.75, 17.25, 16.75, 17, 364800, 17, 0, 1, 16.875, -999
20161206, 16.25, 17, 16.1, 16.700001, 297800, 16.700001, 0, 1, 16.4750005, -999
20161205, 15.75, 16.35, 15.7, 16.25, 361100, 16.25, 0, 1, 16, -999
20161202, 15.8, 16, 15.5, 15.65, 280500, 15.65, 0, 1, 15.725, -999
20161201, 15.95, 16.200001, 15.65, 15.75, 229500, 15.75, 0, 1, 15.85, -999
20161130, 16.450001, 16.799999, 15.8, 15.95, 400900, 15.95, 0, 1, 16.2000005, -999
20161129, 16.200001, 16.549999, 16.200001, 16.299999, 240200, 16.299999, 0, 1, 16.25, -999
20161128, 16.75, 16.75, 16.049999, 16.1, 283600, 16.1, 0, 1, 16.425, -999
20161125, 16.35, 16.85, 16.299999, 16.75, 197700, 16.75, 0, 1, 16.55, -999
20161123, 16.299999, 16.5, 16, 16.35, 210100, 16.35, 0, 1, 16.3249995, -999
20161122, 16.299999, 16.4, 15.95, 16.299999, 243800, 16.299999, 0, 1, 16.299999, -999
20161121, 15.7, 16.35, 15.65, 16.25, 333200, 16.25, 0, 1, 15.975, -999
20161118, 15.3, 15.8, 14.95, 15.65, 264700, 15.65, 0, 1, 15.475, -999
