"DATE","AdjustedClosing","MA2","MA3","MA5","MA7","MA10"
20150102,11,NA,NA,NA,NA,NA
20150105,11.16,11.08,NA,NA,NA,NA
20150106,10.91,11.035,11.0233333333333,NA,NA,NA
20150107,10.9,10.905,10.99,NA,NA,NA
20150108,11.61,11.255,11.14,11.116,NA,NA
20150109,11.13,11.37,11.2133333333333,11.142,NA,NA
20150112,11.2,11.165,11.3133333333333,11.15,11.13,NA
20150113,10.8,11,11.0433333333333,11.128,11.1014285714286,NA
20150114,10.77,10.785,10.9233333333333,11.102,11.0457142857143,NA
20150115,10.2,10.485,10.59,10.82,10.9442857142857,10.968
20150116,9.52,9.86,10.1633333333333,10.498,10.7471428571429,10.82
20150120,9.07,9.295,9.59666666666667,10.072,10.3842857142857,10.611
20150121,9.1,9.085,9.23,9.732,10.0942857142857,10.43
20150122,9.41,9.255,9.19333333333333,9.46,9.83857142857143,10.281
20150123,10.2,9.805,9.57,9.46,9.75285714285714,10.14
20150126,10.55,10.375,10.0533333333333,9.666,9.72142857142857,10.082
20150127,9.8,10.175,10.1833333333333,9.812,9.66428571428571,9.942
20150128,9.58,9.69,9.97666666666667,9.908,9.67285714285714,9.82
20150129,9.43,9.505,9.60333333333333,9.912,9.72428571428571,9.686
20150130,9.75,9.59,9.58666666666667,9.822,9.81714285714286,9.641
20150202,9.36,9.555,9.51333333333333,9.584,9.81,9.625
20150203,9.59,9.475,9.56666666666667,9.542,9.72285714285714,9.677
20150204,9.75,9.67,9.56666666666667,9.576,9.60857142857143,9.742
20150205,9.92,9.835,9.75333333333333,9.674,9.62571428571428,9.793
20150206,9.77,9.845,9.81333333333333,9.678,9.65285714285714,9.75
20150209,9.8,9.785,9.83,9.766,9.70571428571428,9.675
20150210,9.86,9.83,9.81,9.82,9.72142857142857,9.681
20150211,9.87,9.865,9.84333333333333,9.844,9.79428571428571,9.71
20150212,9.75,9.81,9.82666666666666,9.81,9.81714285714286,9.742
20150213,9.88,9.815,9.83333333333333,9.832,9.83571428571429,9.755
20150217,9.85,9.865,9.82666666666667,9.842,9.82571428571429,9.804
20150218,9.76,9.805,9.83,9.822,9.82428571428571,9.821
20150219,10.01,9.885,9.87333333333333,9.85,9.85428571428571,9.847
20150220,10,10.005,9.92333333333333,9.9,9.87428571428571,9.855
20150223,10.51,10.255,10.1733333333333,10.026,9.96571428571428,9.929
20150224,10.83,10.67,10.4466666666667,10.222,10.12,10.032
20150225,10.64,10.735,10.66,10.398,10.2285714285714,10.11
