"DATE","AdjustedClosing","MA2","MA3","MA5","MA7","MA10"
19960621,3,NA,NA,NA,NA,NA
19960624,3.21875,3.109375,NA,NA,NA,NA
19960625,3.15625,3.1875,3.125,NA,NA,NA
19960626,3.15625,3.15625,3.17708333333333,NA,NA,NA
19960627,3.25,3.203125,3.1875,3.15625,NA,NA
19960628,3.28125,3.265625,3.22916666666667,3.2125,NA,NA
19960701,3.21875,3.25,3.25,3.2125,3.18303571428571,NA
19960702,3.25,3.234375,3.25,3.23125,3.21875,NA
19960703,3.40625,3.328125,3.29166666666667,3.28125,3.24553571428571,NA
19960705,3.25,3.328125,3.30208333333333,3.28125,3.25892857142857,3.21875
19960708,3.28125,3.265625,3.3125,3.28125,3.27678571428571,3.246875
19960709,3.26562,3.273435,3.26562333333333,3.290624,3.27901714285714,3.251562
19960710,3.28125,3.273435,3.27604,3.296874,3.27901714285714,3.264062
19960711,3.125,3.203125,3.22395666666667,3.240624,3.26562428571429,3.260937
19960712,3.09375,3.109375,3.16666666666667,3.209374,3.24330285714286,3.245312
19960715,2.96875,3.03125,3.0625,3.146874,3.18080285714286,3.214062
19960716,2.71875,2.84375,2.92708333333333,3.0375,3.10491,3.164062
19960717,3.03125,2.875,2.90625,2.9875,3.06919571428571,3.142187
19960718,3.1875,3.109375,2.97916666666667,3,3.05803571428571,3.120312
19960719,3.21875,3.203125,3.14583333333333,3.025,3.04910714285714,3.117187
19960722,3.1875,3.203125,3.19791666666667,3.06875,3.05803571428571,3.107812
19960723,3.09375,3.140625,3.16666666666667,3.14375,3.05803571428571,3.090625
19960724,3.125,3.109375,3.13541666666667,3.1625,3.08035714285714,3.075
19960725,3.09375,3.109375,3.10416666666667,3.14375,3.13392857142857,3.071875
19960726,3.09375,3.09375,3.10416666666667,3.11875,3.14285714285714,3.071875
19960729,3.0625,3.078125,3.08333333333333,3.09375,3.125,3.08125
19960730,2.9375,3,3.03125,3.0625,3.08482142857143,3.103125
19960731,2.90625,2.921875,2.96875,3.01875,3.04464285714286,3.090625
19960801,2.90625,2.90625,2.91666666666667,2.98125,3.01785714285714,3.0625
19960802,3.125,3.015625,2.97916666666667,2.9875,3.01785714285714,3.053125
19960805,3.125,3.125,3.05208333333333,3,3.02232142857143,3.046875
19960806,3.1875,3.15625,3.14583333333333,3.05,3.03571428571429,3.05625
19960807,3.21875,3.203125,3.17708333333333,3.1125,3.05803571428571,3.065625
