"DATE","AdjustedClosing","MA2","MA3","MA5","MA7","MA10"
19961119,4.122998,NA,NA,NA,NA,NA
19961120,3.840601,3.9817995,NA,NA,NA,NA
19961121,4.631313,4.235957,4.198304,NA,NA,NA
19961122,4.574834,4.6030735,4.348916,NA,NA,NA
19961125,4.461875,4.5183545,4.55600733333333,4.3263242,NA,NA
19961126,4.631313,4.546594,4.55600733333333,4.4279872,NA,NA
19961127,4.631313,4.631313,4.57483366666667,4.5861296,4.41346385714286,NA
19961129,4.518354,4.5748335,4.59366,4.5635378,4.46994328571428,NA
19961202,4.490115,4.5042345,4.546594,4.546594,4.562731,NA
19961203,4.857231,4.673673,4.6219,4.6256652,4.595005,4.4759947
19961204,4.405395,4.631313,4.584247,4.5804816,4.57079942857143,4.5042344
19961205,4.631313,4.518354,4.631313,4.5804816,4.59500485714286,4.5833056
19961206,5.083149,4.857231,4.706619,4.6934406,4.65955285714286,4.6284892
19961209,5.478505,5.280827,5.06432233333333,4.8911186,4.78058028571428,4.7188563
19961210,5.704422,5.5914635,5.42202533333333,5.0605568,4.95001857142857,4.843111
19961211,5.139628,5.422025,5.44085166666667,5.2074034,5.04280614285714,4.8939425
19961212,5.139628,5.139628,5.32789266666667,5.3090664,5.08314857142857,4.944774
19961213,4.97019,5.054909,5.08314866666667,5.2864746,5.16383357142857,4.9899576
19961216,4.348916,4.659553,4.819578,5.0605568,5.12349114285714,4.9758377
19961217,4.518354,4.433635,4.61248666666667,4.8233432,5.04280614285714,4.94195
19961218,4.066519,4.2924365,4.311263,4.6087214,4.84109385714286,4.9080624
19961219,3.897081,3.9818,4.16065133333333,4.360212,4.58290228571429,4.8346392
19961220,4.744272,4.3206765,4.23595733333333,4.3150284,4.52642285714286,4.8007515
19961223,4.546594,4.645433,4.39598233333333,4.354564,4.44170371428571,4.7075604
19961224,4.631313,4.5889535,4.64072633333333,4.3771558,4.39329271428571,4.6002495
19961226,4.800751,4.716032,4.65955266666667,4.5240022,4.45784057142857,4.5663618
19961227,4.744272,4.7725115,4.72544533333333,4.6934404,4.49011457142857,4.5268262
19961230,4.800751,4.7725115,4.78192466666667,4.7047362,4.59500485714286,4.5098823
19961231,4.574834,4.6877925,4.706619,4.7103842,4.69182671428571,4.5324741
19970102,4.687793,4.6313135,4.68779266666667,4.7216802,4.68375828571429,4.549418
19970103,4.744272,4.7160325,4.66896633333333,4.7103844,4.711998,4.6171933
19970106,4.518354,4.631313,4.65013966666667,4.6652008,4.695861,4.6793206
19970107,5.196107,4.8572305,4.81957766666667,4.744272,4.75234042857143,4.7245041
19970108,5.139628,5.1678675,4.951363,4.8572308,4.80881985714286,4.7838075
19970109,4.97019,5.054909,5.101975,4.9137102,4.83302542857143,4.8176952
19970110,4.857231,4.9137105,4.98901633333333,4.936302,4.87336785714286,4.8233432
19970113,4.744272,4.8007515,4.857231,4.9814856,4.88143628571429,4.8233432
19970114,4.94195,4.843111,4.84781766666667,4.9306542,4.909676,4.8374631
19970115,4.857231,4.8995905,4.84781766666667,4.8741748,4.958087,4.8657028
19970116,4.91371,4.8854705,4.904297,4.8628788,4.91774457142857,4.8882945
19970117,5.704422,5.309066,5.15845433333333,5.032317,4.99842942857143,4.9843095
19970120,6.156258,5.93034,5.59146333333333,5.3147142,5.16786771428571,5.1480999
19970121,6.212737,6.1844975,6.02447233333333,5.5688716,5.36151142857143,5.2497629
19970122,6.099778,6.1562575,6.15625766666667,5.817381,5.55515514285714,5.3457779
19970123,6.156258,6.128018,6.15625766666667,6.0658906,5.72862771428571,5.4643847
19970124,6.495134,6.325696,6.25039,6.224033,5.96261385714286,5.628175
19970127,6.212737,6.3539355,6.288043,6.2353288,6.14818914285714,5.7750215
19970128,6.212737,6.212737,6.30686933333333,6.2353288,6.22080557142857,5.9021002
19970129,6.325696,6.2692165,6.25039,6.2805124,6.245011,6.0489467
19970130,5.986819,6.1562575,6.175084,6.2466246,6.212737,6.1562576
19970131,4.97019,5.4785045,5.76090166666667,5.9416358,6.05136728571429,6.0828344
19970203,4.687793,4.8289915,5.214934,5.636647,5.84158657142857,5.9359879
19970204,4.857231,4.772512,4.83840466666667,5.3655458,5.60760042857143,5.8004373
19970205,4.631313,4.744272,4.72544566666667,5.0266692,5.38168271428571,5.6535908
19970206,4.631313,4.631313,4.706619,4.755568,5.155765,5.5010963
19970207,4.687793,4.659553,4.65013966666667,4.6990886,4.92177885714286,5.3203622
19970210,4.574834,4.6313135,4.63131333333333,4.6764968,4.72006671428571,5.1565719
19970211,4.461875,4.5183545,4.574834,4.5974256,4.64745028571429,4.9814857
19970212,4.518354,4.4901145,4.51835433333333,4.5748338,4.62324471428571,4.8007515
19970213,4.518354,4.518354,4.49952766666667,4.552242,4.57483371428571,4.653905
19970214,4.518354,4.518354,4.518354,4.5183542,4.55869671428571,4.6087214
19970218,4.546594,4.532474,4.52776733333333,4.5127062,4.546594,4.5946015
19970219,5.422025,4.9843095,4.828991,4.7047362,4.65148428571429,4.6510809
19970220,5.196107,5.309066,5.05490866666667,4.8402868,4.74023757142857,4.7075603
19970221,5.083149,5.139628,5.23376033333333,4.9532458,4.828991,4.7527439
19970224,5.252587,5.167868,5.177281,5.1000924,4.93388142857143,4.8092233
19970225,5.139628,5.1961075,5.15845466666667,5.2186992,5.02263485714286,4.8657027
19970226,5.083149,5.1113885,5.15845466666667,5.150924,5.10331985714286,4.9278301
19970227,4.97019,5.0266695,5.06432233333333,5.1057406,5.16383357142857,4.9730137
19970228,4.574834,4.772512,4.87605766666667,5.0040776,5.04280628571428,4.9786617
19970303,4.461875,4.5183545,4.66896633333333,4.8459352,4.937916,4.9730138
19970304,4.518354,4.4901145,4.51835433333333,4.7216804,4.857231,4.9701898
19970305,4.744272,4.631313,4.57483366666667,4.653905,4.78461457142857,4.9024145
19970306,4.857231,4.8007515,4.706619,4.6313132,4.74427214285714,4.8685269
19970307,4.744272,4.8007515,4.781925,4.6652008,4.69586114285714,4.8346392
19970310,4.518354,4.631313,4.706619,4.6764966,4.63131314285714,4.7612159
19970311,4.518354,4.518354,4.59366,4.6764966,4.62324457142857,4.6990885
19970312,4.461875,4.4901145,4.49952766666667,4.6200172,4.62324457142857,4.6369611
19970313,4.179478,4.3206765,4.386569,4.4844666,4.57483371428571,4.5578899
19970314,4.010039,4.0947585,4.21713066666667,4.33762,4.46994328571429,4.5014104
19970317,4.235957,4.122998,4.14182466666667,4.2811406,4.38118985714286,4.4788186
19970318,4.010039,4.122998,4.085345,4.1794776,4.27629942857143,4.4279871
19970319,4.235957,4.122998,4.160651,4.134294,4.235957,4.3771556
19970320,4.857231,4.546594,4.36774233333333,4.2698446,4.284368,4.3771556
19970321,4.857231,4.857231,4.65013966666667,4.439283,4.34084742857143,4.3884515
19970324,4.744272,4.8007515,4.819578,4.540946,4.42153228571429,4.4110433
19970325,4.518354,4.631313,4.706619,4.642609,4.49414871428571,4.4110433
19970326,4.461875,4.4901145,4.57483366666667,4.6877926,4.52642271428571,4.4110433
19970327,4.518354,4.4901145,4.49952766666667,4.6200172,4.59903914285714,4.4449309
19970331,4.405395,4.4618745,4.46187466666667,4.52965,4.62324457142857,4.4844665
19970401,4.122998,4.2641965,4.34891566666667,4.4053952,4.51835414285714,4.4731706
19970402,4.010039,4.0665185,4.17947733333333,4.3037322,4.39732671428571,4.4731706
19970403,3.95356,3.9817995,4.02886566666667,4.2020692,4.28436785714286,4.4449309
19970404,5.450265,4.7019125,4.471288,4.3884514,4.417498,4.5042343
19970407,5.393785,5.422025,4.93253666666667,4.5861294,4.550628,4.5578897
19970408,5.196107,5.294946,5.346719,4.8007512,4.64744985714286,4.6030732
19970409,5.139628,5.1678675,5.24317333333333,5.026669,4.75234028571429,4.6652006
19970410,4.91371,5.026669,5.08314833333333,5.218699,4.86529914285714,4.7103841
19970411,4.518354,4.716032,4.85723066666667,5.0323168,4.93791557142857,4.7103841
19970414,4.461875,4.4901145,4.631313,4.8459348,5.010532,4.7160321
19970415,4.631313,4.546594,4.53718066666667,4.732976,4.89353885714286,4.7668636
19970416,4.518354,4.5748335,4.53718066666667,4.6087212,4.76847728571428,4.8176951
19970417,4.518354,4.518354,4.556007,4.52965,4.67165542857143,4.8741745
19970418,4.744272,4.631313,4.59366,4.5748336,4.615176,4.8035752
19970421,4.631313,4.6877925,4.631313,4.6087212,4.57483357142857,4.727328
19970422,4.405395,4.518354,4.59366,4.5635376,4.55869657142857,4.6482568
19970423,4.461875,4.433635,4.49952766666667,4.5522418,4.55869657142857,4.5804815
19970424,4.574834,4.5183545,4.48070133333333,4.5635378,4.55062814285714,4.5465939
19970425,4.518354,4.546594,4.51835433333333,4.5183542,4.55062814285714,4.5465939
19970428,4.461875,4.4901145,4.51835433333333,4.4844666,4.54255971428571,4.5465939
19970429,4.631313,4.546594,4.53718066666667,4.5296502,4.52642271428571,4.5465939
19970430,4.744272,4.6877925,4.61248666666667,4.5861296,4.54255971428571,4.5691857
19970501,4.97019,4.857231,4.781925,4.6652008,4.62324471428571,4.6143693
19970502,5.422025,5.1961075,5.04549566666667,4.845935,4.760409,4.6821446
19970505,5.591463,5.506744,5.32789266666667,5.0718526,4.90564171428571,4.7781596
19970506,5.591463,5.591463,5.53498366666667,5.2638826,5.058943,4.8967664
19970507,5.591463,5.591463,5.591463,5.4333208,5.22031271428571,5.0097252
19970508,5.647943,5.619703,5.61028966666667,5.5688714,5.36554557142857,5.1170361
19970509,5.93034,5.7891415,5.72324866666667,5.6705344,5.53498385714286,5.2582347
19970512,5.873861,5.9021005,5.81738133333333,5.727014,5.66407971428571,5.3994333
19970513,6.071539,5.9727,5.95858,5.8230292,5.75686742857143,5.5434559
19970514,5.760902,5.9162205,5.90210066666667,5.856917,5.781073,5.6451189
19970515,5.817381,5.7891415,5.883274,5.8908046,5.813347,5.729838
19970516,5.873861,5.845621,5.81738133333333,5.8795088,5.85368957142857,5.7750216
19970519,5.534984,5.7044225,5.74207533333333,5.8117334,5.83755257142857,5.7693737
19970520,5.365546,5.450265,5.59146366666667,5.6705348,5.75686771428571,5.746782
19970521,5.760902,5.563224,5.55381066666667,5.6705348,5.74073071428571,5.7637259
19970522,6.099778,5.93034,5.74207533333333,5.7270142,5.74476485714286,5.8089094
19970523,5.845621,5.9726995,5.90210033333333,5.7213662,5.75686757142857,5.8004375
19970527,6.099778,5.9726995,6.015059,5.834325,5.79721,5.8230292
19970528,6.325696,6.212737,6.090365,6.026355,5.86175785714286,5.8484449
19970529,6.269217,6.2974565,6.23156366666667,6.128018,5.96664828571429,5.8992764
19970530,6.212737,6.240977,6.26921666666667,6.1506098,6.08767557142857,5.938812
19970602,6.212737,6.212737,6.23156366666667,6.224033,6.15222342857143,5.9726996
19970603,6.212737,6.212737,6.212737,6.2466248,6.16836042857143,6.0404749
19970604,6.608093,6.410415,6.34452233333333,6.3031042,6.277285,6.1647296
19970605,7.003449,6.805771,6.608093,6.4499506,6.40638085714286,6.2889843
19970606,6.94697,6.9752095,6.85283733333333,6.5967972,6.49513428571429,6.3737035
19970609,7.455284,7.201127,7.13523433333333,6.8453066,6.66457242857143,6.5346698
19970610,6.94697,7.201127,7.116408,6.9921532,6.76946285714286,6.619389
19970611,7.059928,7.003449,7.15406066666667,7.0825202,6.89049014285714,6.6928122
19970612,7.229367,7.1446475,7.078755,7.1277038,7.035723,6.7888272
19970613,7.201127,7.215247,7.163474,7.1785352,7.12044214285714,6.8876662
19970616,7.059928,7.1305275,7.163474,7.099464,7.12851057142857,6.9723853
19970617,7.285846,7.172887,7.18230033333333,7.1672392,7.17692142857143,7.0796962
19970618,7.003449,7.1446475,7.11640766666667,7.1559434,7.11237357142857,7.1192318
19970619,7.116408,7.0599285,7.13523433333333,7.1333516,7.136579,7.1305277
19970620,7.172887,7.1446475,7.09758133333333,7.1277036,7.152716,7.1531194
19970623,6.551614,6.8622505,6.94696966666667,7.0260408,7.05589414285714,7.0627524
19970624,6.692812,6.622213,6.805771,6.907434,6.98327771428571,7.0373366
19970625,6.721052,6.706932,6.65515933333333,6.8509546,6.93486685714286,7.003449
19970626,6.664572,6.692812,6.692812,6.7605874,6.84611342857143,6.9469695
19970627,6.269217,6.4668945,6.55161366666667,6.5798534,6.74122314285714,6.8537785
19970630,6.664572,6.4668945,6.532787,6.602445,6.67667514285714,6.8142429
19970701,6.495134,6.579853,6.47630766666667,6.5629094,6.57985328571429,6.7351717
19970702,6.382175,6.4386545,6.51396033333333,6.495134,6.55564771428571,6.6730443
19970703,6.325696,6.3539355,6.40100166666667,6.4273588,6.50320257142857,6.5939731
19970707,6.382175,6.3539355,6.36334866666667,6.4499504,6.45479157142857,6.5149019
19970708,6.156258,6.2692165,6.288043,6.3482876,6.38217528571428,6.4753663
19970709,5.704422,5.93034,6.08095166666667,6.1901452,6.30149028571429,6.3765273
19970710,5.873861,5.7891415,5.91151366666667,6.0884824,6.18853157142857,6.2918082
19970711,6.212737,6.043299,5.93034,6.0658906,6.14818914285714,6.2466247
19970714,6.099778,6.1562575,6.06212533333333,6.0094112,6.10784671428571,6.2296808
19970715,6.608093,6.3539355,6.30686933333333,6.0997782,6.14818914285714,6.2240329
19970716,6.551614,6.5798535,6.41982833333333,6.2692166,6.17239471428571,6.2296809
19970717,6.579853,6.5657335,6.57985333333333,6.410415,6.23290828571429,6.2494487
19970718,6.438655,6.509254,6.523374,6.4555986,6.33779871428571,6.2607446
19970721,6.212737,6.325696,6.410415,6.4781904,6.38620957142857,6.2438008
19970722,6.156258,6.1844975,6.26921666666667,6.3878234,6.37814114285714,6.2438008
19970723,5.422025,5.7891415,5.93034,6.1619056,6.28131928571429,6.2155611
19970724,5.422025,5.422025,5.66676933333333,5.93034,6.111881,6.1703775
19970725,5.111388,5.2667065,5.31847933333333,5.6648866,5.90613442857143,6.0602426
19970728,4.800751,4.9560695,5.111388,5.3824894,5.651977,5.9303399
19970729,4.800751,4.800751,4.90429666666667,5.111388,5.41799071428571,5.7496057
19970730,4.828991,4.814871,4.81016433333333,4.9927812,5.22031271428571,5.5773434
19970731,4.772512,4.8007515,4.80075133333333,4.8628786,5.02263471428571,5.3966093
19970801,4.744272,4.758392,4.781925,4.7894554,4.92581285714286,5.227171
19970804,4.687793,4.7160325,4.734859,4.7668638,4.82092257142857,5.0746766
19970805,4.490115,4.588954,4.64072666666667,4.7047366,4.73216928571428,4.9080623
19970806,4.631313,4.560714,4.60307366666667,4.665201,4.70796385714286,4.8289911
19970807,4.631313,4.631313,4.584247,4.6369612,4.68375842857143,4.7499199
19970808,4.574834,4.6030735,4.61248666666667,4.6030736,4.64745028571429,4.6962645
19970811,4.518354,4.546594,4.57483366666667,4.5691858,4.611142,4.6680248
19970812,4.461875,4.4901145,4.51835433333333,4.5635378,4.57079957142857,4.6341372
19970813,4.631313,4.546594,4.53718066666667,4.5635378,4.562731,4.6143694
19970814,4.800751,4.716032,4.631313,4.5974254,4.60710757142857,4.6171933
19970815,4.631313,4.716032,4.68779233333333,4.6087212,4.60710757142857,4.6058974
19970818,4.631313,4.631313,4.68779233333333,4.631313,4.60710757142857,4.6002494
19970819,4.97019,4.8007515,4.744272,4.732976,4.663587,4.6482569
19970820,5.704422,5.337306,5.101975,4.9475978,4.83302528571429,4.7555678
19970821,5.478505,5.5914635,5.38437233333333,5.0831486,4.97825814285714,4.840287
19970822,5.365546,5.4220255,5.51615766666667,5.2299952,5.08314857142857,4.9193582
19970825,5.422025,5.3937855,5.42202533333333,5.3881376,5.171902,5.0097253
19970826,5.422025,5.422025,5.40319866666667,5.4785046,5.28486085714286,5.1057403
19970827,5.450265,5.436145,5.43143833333333,5.4276732,5.401854,5.1876355
19970828,5.252587,5.351426,5.374959,5.3824896,5.44219642857143,5.2328191
19970829,5.309066,5.2808265,5.337306,5.3711936,5.385717,5.3005944
19970902,5.280827,5.2949465,5.28082666666667,5.342954,5.35747728571429,5.3655458
19970903,4.97019,5.1255085,5.18669433333333,5.252587,5.30099785714286,5.3655458
19970904,4.800751,4.8854705,5.017256,5.1226842,5.21224442857143,5.2751787
