"DATE","AdjustedClosing","MA2","MA3","MA5","MA7","MA10"
19911115,35.5,NA,NA,NA,NA,NA
19911118,33,34.25,NA,NA,NA,NA
19911119,33.5,33.25,34,NA,NA,NA
19911120,33,33.25,33.1666666666667,NA,NA,NA
19911121,33,33,33.1666666666667,33.6,NA,NA
19911122,33,33,33,33.1,NA,NA
19911125,33,33,33,33.1,33.4285714285714,NA
19911126,34,33.5,33.3333333333333,33.2,33.2142857142857,NA
19911127,35,34.5,34,33.6,33.5,NA
19911129,34,34.5,34.3333333333333,33.8,33.5714285714286,33.7
19911202,34,34,34.3333333333333,34,33.7142857142857,33.55
19911203,37,35.5,35,34.8,34.2857142857143,33.95
19911204,35,36,35.3333333333333,35,34.5714285714286,34.1
19911205,34,34.5,35.3333333333333,34.8,34.7142857142857,34.2
19911206,34,34,34.3333333333333,34.8,34.7142857142857,34.3
19911209,37,35.5,35,35.4,35,34.7
19911210,35,36,35.3333333333333,35,35.1428571428571,34.9
19911211,34,34.5,35.3333333333333,34.8,35.1428571428571,34.9
19911212,34,34,34.3333333333333,34.8,34.7142857142857,34.8
19911213,34,34,34,34.8,34.5714285714286,34.8
19911216,34,34,34,34.2,34.5714285714286,34.8
19911217,34,34,34,34,34.5714285714286,34.5
19911218,34,34,34,34,34.1428571428571,34.4
19911219,34,34,34,34,34,34.4
19911220,34,34,34,34,34,34.4
19911223,35.5,34.75,34.5,34.3,34.2142857142857,34.25
19911224,35.5,35.5,35,34.6,34.4285714285714,34.3
19911226,34,34.75,35,34.6,34.4285714285714,34.3
19911227,36,35,35.1666666666667,35,34.7142857142857,34.5
19911230,34,35,34.6666666666667,35,34.7142857142857,34.5
19911231,34,34,34.6666666666667,34.7,34.7142857142857,34.5
19920102,36,35,34.6666666666667,34.8,35,34.7
19920103,34.5,35.25,34.8333333333333,34.9,34.8571428571429,34.75
19920106,34.5,34.5,35,34.6,34.7142857142857,34.8
19920107,35.5,35,34.8333333333333,34.9,34.9285714285714,34.95
19920108,36,35.75,35.3333333333333,35.3,34.9285714285714,35
19920109,35.5,35.75,35.6666666666667,35.2,35.1428571428571,35
19920110,34.5,35,35.3333333333333,35.2,35.2142857142857,35.05
19920113,34.5,34.5,34.8333333333333,35.2,35,34.9
19920114,35,34.75,34.6666666666667,35.1,35.0714285714286,35
19920115,36,35.5,35.1666666666667,35.1,35.2857142857143,35.2
19920116,35,35.5,35.3333333333333,35,35.2142857142857,35.1
19920117,36,35.5,35.6666666666667,35.3,35.2142857142857,35.25
19920120,35.5,35.75,35.5,35.5,35.2142857142857,35.35
19920121,35,35.25,35.5,35.5,35.2857142857143,35.3
19920122,35,35,35.1666666666667,35.3,35.3571428571429,35.2
19920123,35,35,35,35.3,35.3571428571429,35.15
19920124,35,35,35,35.1,35.2142857142857,35.2
19920127,35,35,35,35,35.2142857142857,35.25
19920128,35,35,35,35,35.0714285714286,35.25
19920129,35.5,35.25,35.1666666666667,35.1,35.0714285714286,35.2
19920130,35,35.25,35.1666666666667,35.1,35.0714285714286,35.2
19920131,35,35,35.1666666666667,35.1,35.0714285714286,35.1
19920203,36,35.5,35.3333333333333,35.3,35.2142857142857,35.15
19920204,35.5,35.75,35.5,35.4,35.2857142857143,35.2
19920205,35,35.25,35.5,35.3,35.2857142857143,35.2
19920206,35,35,35.1666666666667,35.3,35.2857142857143,35.2
19920207,36.5,35.75,35.5,35.6,35.4285714285714,35.35
19920210,36,36.25,35.8333333333333,35.6,35.5714285714286,35.45
19920211,33,34.5,35.1666666666667,35.1,35.2857142857143,35.25
19920212,34,33.5,34.3333333333333,34.9,35,35.1
