"DATE","AdjustedClosing","MA2","MA3","MA5","MA7","MA10"
20101015,2.34,NA,NA,NA,NA,NA
20101018,2.34,2.34,NA,NA,NA,NA
20101019,2.34,2.34,2.34,NA,NA,NA
20101020,2.36,2.35,2.34666666666667,NA,NA,NA
20101021,2.36,2.36,2.35333333333333,2.348,NA,NA
20101022,2.36,2.36,2.36,2.352,NA,NA
20101025,2.36,2.36,2.36,2.356,2.35142857142857,NA
20101026,3.38,2.87,2.7,2.564,2.5,NA
20101027,3.29,3.335,3.01,2.75,2.63571428571429,NA
20101028,3.29,3.29,3.32,2.936,2.77142857142857,2.642
20101029,3.29,3.29,3.29,3.122,2.90428571428571,2.737
20101101,3.29,3.29,3.29,3.308,3.03714285714286,2.832
20101102,3.29,3.29,3.29,3.29,3.17,2.927
20101103,3.29,3.29,3.29,3.29,3.30285714285714,3.02
20101104,3.29,3.29,3.29,3.29,3.29,3.113
20101105,3.01,3.15,3.19666666666667,3.234,3.25,3.178
20101108,3.01,3.01,3.10333333333333,3.178,3.21,3.243
20101109,3.01,3.01,3.01,3.122,3.17,3.206
20101110,2.53,2.77,2.85,2.97,3.06142857142857,3.13
20101111,2.53,2.53,2.69,2.818,2.95285714285714,3.054
20101112,2.53,2.53,2.53,2.722,2.84428571428571,2.978
20101115,2.53,2.53,2.53,2.626,2.73571428571428,2.902
20101116,2.53,2.53,2.53,2.53,2.66714285714286,2.826
20101117,2.53,2.53,2.53,2.53,2.59857142857143,2.75
20101118,2.53,2.53,2.53,2.53,2.53,2.674
20101119,2.95,2.74,2.67,2.614,2.59,2.668
20101122,2.95,2.95,2.81,2.698,2.65,2.662
20101123,2.95,2.95,2.95,2.782,2.71,2.656
20101124,2.95,2.95,2.95,2.866,2.77,2.698
20101126,2.95,2.95,2.95,2.95,2.83,2.74
20101129,2.95,2.95,2.95,2.95,2.89,2.782
20101130,2.95,2.95,2.95,2.95,2.95,2.824
20101201,2.95,2.95,2.95,2.95,2.95,2.866
20101202,2.95,2.95,2.95,2.95,2.95,2.908
20101203,2.95,2.95,2.95,2.95,2.95,2.95
20101206,2.95,2.95,2.95,2.95,2.95,2.95
20101207,2.86,2.905,2.92,2.932,2.93714285714286,2.941
20101208,2.86,2.86,2.89,2.914,2.92428571428571,2.932
20101209,2.85,2.855,2.85666666666667,2.894,2.91,2.922
20101210,2.85,2.85,2.85333333333333,2.874,2.89571428571429,2.912
20101213,2.85,2.85,2.85,2.854,2.88142857142857,2.902
20101214,2.85,2.85,2.85,2.852,2.86714285714286,2.892
20101215,2.85,2.85,2.85,2.85,2.85285714285714,2.882
20101216,2.85,2.85,2.85,2.85,2.85142857142857,2.872
20101217,2.85,2.85,2.85,2.85,2.85,2.862
20101220,2.85,2.85,2.85,2.85,2.85,2.852
20101221,2.71,2.78,2.80333333333333,2.822,2.83,2.837
20101222,2.65,2.68,2.73666666666667,2.782,2.80142857142857,2.816
20101223,2.65,2.65,2.67,2.742,2.77285714285714,2.796
20101227,2.65,2.65,2.65,2.702,2.74428571428571,2.776
20101228,2.65,2.65,2.65,2.662,2.71571428571429,2.756
20101229,2.65,2.65,2.65,2.65,2.68714285714286,2.736
20101230,2.65,2.65,2.65,2.65,2.65857142857143,2.716
20101231,2.65,2.65,2.65,2.65,2.65,2.696
20110103,2.65,2.65,2.65,2.65,2.65,2.676
20110104,2.65,2.65,2.65,2.65,2.65,2.656
20110105,2.6,2.625,2.63333333333333,2.64,2.64285714285714,2.645
20110106,2.6,2.6,2.61666666666667,2.63,2.63571428571429,2.64
20110107,2.6,2.6,2.6,2.62,2.62857142857143,2.635
20110110,2.6,2.6,2.6,2.61,2.62142857142857,2.63
20110111,2.6,2.6,2.6,2.6,2.61428571428571,2.625
20110112,2.62,2.61,2.60666666666667,2.604,2.61,2.622
20110113,2.62,2.62,2.61333333333333,2.608,2.60571428571429,2.619
20110114,2.62,2.62,2.62,2.612,2.60857142857143,2.616
20110118,2.62,2.62,2.62,2.616,2.61142857142857,2.613
20110119,2.62,2.62,2.62,2.62,2.61428571428571,2.61
20110120,2.62,2.62,2.62,2.62,2.61714285714286,2.612
20110121,2.62,2.62,2.62,2.62,2.62,2.614
20110124,2.72,2.67,2.65333333333333,2.64,2.63428571428571,2.626
20110125,2.68,2.7,2.67333333333333,2.652,2.64285714285714,2.634
20110126,2.74,2.71,2.71333333333333,2.676,2.66,2.648
20110127,2.74,2.74,2.72,2.7,2.67714285714286,2.66
20110128,2.74,2.74,2.74,2.724,2.69428571428571,2.672
20110131,2.74,2.74,2.74,2.728,2.71142857142857,2.684
20110201,2.71,2.725,2.73,2.734,2.72428571428571,2.693
20110202,2.71,2.71,2.72,2.728,2.72285714285714,2.702
20110203,2.71,2.71,2.71,2.722,2.72714285714286,2.711
20110204,2.71,2.71,2.71,2.716,2.72285714285714,2.72
20110207,2.53,2.62,2.65,2.674,2.69285714285714,2.701
20110208,2.51,2.52,2.58333333333333,2.634,2.66,2.684
20110209,2.51,2.51,2.51666666666667,2.594,2.62714285714286,2.661
20110210,2.51,2.51,2.51,2.554,2.59857142857143,2.638
20110211,2.51,2.51,2.51,2.514,2.57,2.615
20110214,2.51,2.51,2.51,2.51,2.54142857142857,2.592
20110215,2.51,2.51,2.51,2.51,2.51285714285714,2.572
20110216,2.51,2.51,2.51,2.51,2.51,2.552
20110217,2.51,2.51,2.51,2.51,2.51,2.532
20110218,2.51,2.51,2.51,2.51,2.51,2.512
20110222,2.51,2.51,2.51,2.51,2.51,2.51
20110223,2.51,2.51,2.51,2.51,2.51,2.51
20110224,2.51,2.51,2.51,2.51,2.51,2.51
20110225,2.67,2.59,2.56333333333333,2.542,2.53285714285714,2.526
20110228,2.67,2.67,2.61666666666667,2.574,2.55571428571429,2.542
20110301,2.67,2.67,2.67,2.606,2.57857142857143,2.558
20110302,2.67,2.67,2.67,2.638,2.60142857142857,2.574
20110303,2.58,2.625,2.64,2.652,2.61142857142857,2.581
20110304,2.58,2.58,2.61,2.634,2.62142857142857,2.588
20110307,2.58,2.58,2.58,2.616,2.63142857142857,2.595
20110308,2.58,2.58,2.58,2.598,2.61857142857143,2.602
20110309,2.58,2.58,2.58,2.58,2.60571428571429,2.609
20110310,2.58,2.58,2.58,2.58,2.59285714285714,2.616
20110311,2.58,2.58,2.58,2.58,2.58,2.607
20110314,2.58,2.58,2.58,2.58,2.58,2.598
20110315,2.58,2.58,2.58,2.58,2.58,2.589
20110316,2.58,2.58,2.58,2.58,2.58,2.58
20110317,2.58,2.58,2.58,2.58,2.58,2.58
20110318,2.58,2.58,2.58,2.58,2.58,2.58
20110321,2.58,2.58,2.58,2.58,2.58,2.58
20110322,2.58,2.58,2.58,2.58,2.58,2.58
20110323,2.58,2.58,2.58,2.58,2.58,2.58
20110324,2.92,2.75,2.69333333333333,2.648,2.62857142857143,2.614
20110325,2.92,2.92,2.80666666666667,2.716,2.67714285714286,2.648
20110328,2.92,2.92,2.92,2.784,2.72571428571429,2.682
20110329,2.92,2.92,2.92,2.852,2.77428571428571,2.716
20110330,2.92,2.92,2.92,2.92,2.82285714285714,2.75
20110331,2.92,2.92,2.92,2.92,2.87142857142857,2.784
20110401,2.92,2.92,2.92,2.92,2.92,2.818
20110404,2.92,2.92,2.92,2.92,2.92,2.852
20110405,2.92,2.92,2.92,2.92,2.92,2.886
20110406,2.92,2.92,2.92,2.92,2.92,2.92
20110407,2.92,2.92,2.92,2.92,2.92,2.92
20110408,2.92,2.92,2.92,2.92,2.92,2.92
20110411,2.92,2.92,2.92,2.92,2.92,2.92
20110412,2.92,2.92,2.92,2.92,2.92,2.92
20110413,2.92,2.92,2.92,2.92,2.92,2.92
20110414,2.92,2.92,2.92,2.92,2.92,2.92
20110415,2.92,2.92,2.92,2.92,2.92,2.92
20110418,2.92,2.92,2.92,2.92,2.92,2.92
20110419,2.92,2.92,2.92,2.92,2.92,2.92
20110420,2.92,2.92,2.92,2.92,2.92,2.92
20110421,3.17,3.045,3.00333333333333,2.97,2.95571428571429,2.945
20110425,3.17,3.17,3.08666666666667,3.02,2.99142857142857,2.97
20110426,3.17,3.17,3.17,3.07,3.02714285714286,2.995
20110427,3.11,3.14,3.15,3.108,3.05428571428571,3.014
20110428,3.11,3.11,3.13,3.146,3.08142857142857,3.033
20110429,3.11,3.11,3.11,3.134,3.10857142857143,3.052
20110502,3.11,3.11,3.11,3.122,3.13571428571429,3.071
20110503,3.11,3.11,3.11,3.11,3.12714285714286,3.09
20110504,3.11,3.11,3.11,3.11,3.11857142857143,3.109
20110505,3.11,3.11,3.11,3.11,3.11,3.128
20110506,3.11,3.11,3.11,3.11,3.11,3.122
20110509,3.11,3.11,3.11,3.11,3.11,3.116
20110510,3.11,3.11,3.11,3.11,3.11,3.11
20110511,3.11,3.11,3.11,3.11,3.11,3.11
20110512,3.11,3.11,3.11,3.11,3.11,3.11
20110513,3.11,3.11,3.11,3.11,3.11,3.11
20110516,3.11,3.11,3.11,3.11,3.11,3.11
20110517,2.97,3.04,3.06333333333333,3.082,3.09,3.096
20110518,2.97,2.97,3.01666666666667,3.054,3.07,3.082
20110519,3.04,3.005,2.99333333333333,3.04,3.06,3.075
20110520,3.02,3.03,3.01,3.022,3.04714285714286,3.066
20110523,3.02,3.02,3.02666666666667,3.004,3.03428571428571,3.057
20110524,3.24,3.13,3.09333333333333,3.058,3.05285714285714,3.07
20110525,3.18,3.21,3.14666666666667,3.1,3.06285714285714,3.077
20110526,3.18,3.18,3.2,3.128,3.09285714285714,3.084
20110527,3.29,3.235,3.21666666666667,3.182,3.13857142857143,3.102
20110531,3.41,3.35,3.29333333333333,3.26,3.19142857142857,3.132
20110601,3.22,3.315,3.30666666666667,3.256,3.22,3.157
20110602,3.22,3.22,3.28333333333333,3.264,3.24857142857143,3.182
20110603,3.22,3.22,3.22,3.272,3.24571428571429,3.2
20110606,3.21,3.215,3.21666666666667,3.256,3.25,3.219
20110607,3.21,3.21,3.21333333333333,3.216,3.25428571428571,3.238
20110608,3.11,3.16,3.17666666666667,3.194,3.22857142857143,3.225
20110609,3.14,3.125,3.15333333333333,3.178,3.19,3.221
20110610,3.13,3.135,3.12666666666667,3.16,3.17714285714286,3.216
20110613,3.13,3.13,3.13333333333333,3.144,3.16428571428571,3.2
20110614,3.13,3.13,3.13,3.128,3.15142857142857,3.172
20110615,3.13,3.13,3.13,3.132,3.14,3.163
20110616,3.13,3.13,3.13,3.13,3.12857142857143,3.154
20110617,3.13,3.13,3.13,3.13,3.13142857142857,3.145
20110620,3.13,3.13,3.13,3.13,3.13,3.137
20110621,3.13,3.13,3.13,3.13,3.13,3.129
20110622,3.13,3.13,3.13,3.13,3.13,3.131
20110623,3.13,3.13,3.13,3.13,3.13,3.13
20110624,3.13,3.13,3.13,3.13,3.13,3.13
20110627,3.13,3.13,3.13,3.13,3.13,3.13
20110628,3.13,3.13,3.13,3.13,3.13,3.13
20110629,3.13,3.13,3.13,3.13,3.13,3.13
20110630,3.13,3.13,3.13,3.13,3.13,3.13
20110701,3.13,3.13,3.13,3.13,3.13,3.13
20110705,2.61,2.87,2.95666666666667,3.026,3.05571428571429,3.078
20110706,2.61,2.61,2.78333333333333,2.922,2.98142857142857,3.026
20110707,2.61,2.61,2.61,2.818,2.90714285714286,2.974
20110708,2.61,2.61,2.61,2.714,2.83285714285714,2.922
20110711,2.61,2.61,2.61,2.61,2.75857142857143,2.87
20110712,2.61,2.61,2.61,2.61,2.68428571428571,2.818
20110713,2.61,2.61,2.61,2.61,2.61,2.766
20110714,2.61,2.61,2.61,2.61,2.61,2.714
20110715,2.61,2.61,2.61,2.61,2.61,2.662
20110718,2.61,2.61,2.61,2.61,2.61,2.61
20110719,2.61,2.61,2.61,2.61,2.61,2.61
20110720,2.61,2.61,2.61,2.61,2.61,2.61
20110721,2.61,2.61,2.61,2.61,2.61,2.61
20110722,2.99,2.8,2.73666666666667,2.686,2.66428571428571,2.648
20110725,2.99,2.99,2.86333333333333,2.762,2.71857142857143,2.686
20110726,2.9,2.945,2.96,2.82,2.76,2.715
20110727,2.9,2.9,2.93,2.878,2.80142857142857,2.744
20110728,2.9,2.9,2.9,2.936,2.84285714285714,2.773
20110729,2.9,2.9,2.9,2.918,2.88428571428571,2.802
20110801,2.9,2.9,2.9,2.9,2.92571428571429,2.831
20110802,2.9,2.9,2.9,2.9,2.91285714285714,2.86
20110803,2.9,2.9,2.9,2.9,2.9,2.889
